0,1,2,3,4,5,6,7,8,9,10,11
2014-15 NBA RPI Rankings,,,,,,,,,,,
RK,TEAM,RPI,W,L,PCT,SOS,PWR,PF,PA,EWL,EWP
1,Golden State,.582,67,15,.817,.504,1,9016,8188,68-14,.831
2,Houston,.552,56,26,.683,.509,7,8522,8240,52-30,.635
,LA,.552,56,26,.683,.509,4,8751,8211,61-21,.741
4,Atlanta,.551,60,22,.732,.491,5,8409,7964,58-24,.710
5,Memphis,.549,55,27,.671,.509,8,8062,7796,52-30,.635
6,San Antonio,.548,55,27,.671,.506,2,8461,7953,60-22,.735
7,Dallas,.536,50,32,.610,.511,10,8628,8390,50-32,.613
8,Cleveland,.535,53,29,.646,.497,3,8457,8090,55-27,.675
9,Portland,.534,51,31,.622,.504,9,8429,8082,55-27,.667
10,Chicago,.523,50,32,.610,.494,6,8265,8019,51-31,.622
11,Toronto,.517,49,33,.598,.491,11,8527,8275,51-31,.621
,New Orleans,.517,45,37,.549,.507,12,8147,8082,44-38,.533
13,Oklahoma City,.516,45,37,.549,.505,15,8524,8345,48-34,.587
14,Washington,.509,46,36,.561,.491,14,8080,8021,43-39,.530
15,Phoenix,.500,39,43,.476,.508,21,8397,8471,38-44,.464
16,Utah,.498,38,44,.463,.509,13,7801,7783,42-40,.510
17,Milwaukee,.494,41,41,.500,.492,18,8023,7988,42-40,.518
18,Boston,.490,40,42,.488,.490,17,8312,8299,42-40,.506
19,Brooklyn,.487,38,44,.463,.495,19,8038,8274,31-51,.383
20,Indiana,.484,38,44,.463,.491,16,7981,7958,42-40,.512
21,Miami,.483,37,45,.451,.493,20,7764,7977,32-50,.390
22,Charlotte,.471,33,49,.402,.494,22,7721,7981,30-52,.367
23,Denver,.470,30,52,.366,.505,23,8320,8611,30-52,.362
,Sacramento,.470,29,53,.354,.509,26,8310,8614,29-53,.356
25,Detroit,.467,32,50,.390,.493,24,8077,8159,38-44,.458
26,Orlando,.447,25,57,.305,.494,25,7847,8316,23-59,.277
27,LA Lakers,.444,21,61,.256,.507,28,8073,8634,20-62,.248
28,Minnesota,.430,16,66,.195,.508,30,8016,8737,16-66,.194
29,Philadelphia,.425,18,64,.220,.494,27,7542,8278,15-67,.177
30,New York,.419,17,65,.207,.490,29,7535,8299,14-68,.169
